model,window,method,policy,residual_residency,nll,hbm_mib,dram_mib
mistral,12,paged_precision,,0.0,2.0538217259638714,142.25439453125,0.0
mistral,12,paged_precision,sink,0.1,2.033161382910407,155.75439453125,118.5
mistral,12,paged_precision,recent,0.1,1.899458476683236,155.75439453125,118.5
mistral,12,paged_precision,attention_ema,0.1,1.881057995957967,155.75439453125,118.5
mistral,12,paged_precision,sink,0.25,2.0221554845505807,175.25439453125,99.0
mistral,12,paged_precision,recent,0.25,1.888398576858691,175.25439453125,99.0
mistral,12,paged_precision,attention_ema,0.25,1.8597398594252041,175.25439453125,99.0
mistral,12,paged_precision,sink,0.5,2.001171386967428,208.25439453125,66.0
mistral,12,paged_precision,recent,0.5,1.87686953894557,208.25439453125,66.0
mistral,12,paged_precision,attention_ema,0.5,1.8608337806213768,208.25439453125,66.0
mistral,12,tq3,,,1.8524300533431557,208.2509765625,0.0
mistral,12,tq4,,1.0,1.8235236366593597,274.251953125,0.0
mistral,13,bf16,,,1.7630028039341532,1056.0,0.0
mistral,13,tq2,,,1.846915511854121,142.25048828125,0.0
mistral,13,paged_precision,,0.0,1.8928010060890017,142.25439453125,0.0
mistral,13,paged_precision,sink,0.1,1.886339473300211,155.75439453125,118.5
mistral,13,paged_precision,recent,0.1,1.7705588724247505,155.75439453125,118.5
mistral,13,paged_precision,attention_ema,0.1,1.779020598608998,155.75439453125,118.5
mistral,13,paged_precision,sink,0.25,1.8558147482555185,175.25439453125,99.0
mistral,13,paged_precision,recent,0.25,1.7599788828010148,175.25439453125,99.0
mistral,13,paged_precision,attention_ema,0.25,1.7587239642094552,175.25439453125,99.0
mistral,13,paged_precision,sink,0.5,1.8666848761211554,208.25439453125,66.0
mistral,13,paged_precision,recent,0.5,1.7512487572372564,208.25439453125,66.0
mistral,13,paged_precision,attention_ema,0.5,1.7632055827058721,208.25439453125,66.0
mistral,13,tq3,,,1.764154899580376,208.2509765625,0.0
mistral,13,tq4,,1.0,1.7604097360877518,274.251953125,0.0
mistral,14,bf16,,,1.1912683770462582,1056.0,0.0
mistral,14,tq2,,,1.3358128022606763,142.25048828125,0.0
mistral,14,paged_precision,,0.0,1.3498764808600754,142.25439453125,0.0
mistral,14,paged_precision,sink,0.1,1.3258216759072639,155.75439453125,118.5
mistral,14,paged_precision,recent,0.1,1.2220937381694377,155.75439453125,118.5
mistral,14,paged_precision,attention_ema,0.1,1.205740164786743,155.75439453125,118.5
mistral,14,paged_precision,sink,0.25,1.3063337810334588,175.25439453125,99.0
mistral,14,paged_precision,recent,0.25,1.2226331632663587,175.25439453125,99.0
mistral,14,paged_precision,attention_ema,0.25,1.207143597864988,175.25439453125,99.0
mistral,14,paged_precision,sink,0.5,1.3127114992123552,208.25439453125,66.0
